distance,passengers,hour,weekday,trip_minutes,payment,color,pickup_borough,dropoff_borough,fare,tip,tolls,total
0.8,1,23,Monday,5.32,credit card,yellow,Manhattan,Manhattan,5.5,2.3,0.0,11.6
9.82,1,17,Thursday,35.05,credit card,yellow,Queens,Manhattan,31.5,8.31,5.76,49.87
1.09,5,12,Monday,11.23,credit card,yellow,Manhattan,Manhattan,8.5,2.36,0.0,14.16
2.89,5,9,Sunday,7.9,credit card,yellow,Manhattan,Manhattan,9.5,3.84,0.0,16.64
1.9,1,8,Monday,12.43,credit card,yellow,Manhattan,Manhattan,10.0,3.0,0.0,16.3
3.35,1,2,Sunday,16.63,cash,yellow,Manhattan,Manhattan,13.5,0.0,0.0,17.3
2.6,1,20,Saturday,15.77,credit card,yellow,Manhattan,Manhattan,12.5,3.26,0.0,19.56
4.71,1,12,Wednesday,19.52,credit card,yellow,Manhattan,Manhattan,17.5,0.0,0.0,18.3
0.92,1,8,Wednesday,18.13,cash,yellow,Manhattan,Manhattan,12.0,0.0,0.0,15.3
1.84,1,15,Sunday,5.95,credit card,yellow,Manhattan,Manhattan,7.0,2.06,0.0,12.36
0.74,3,2,Friday,2.07,cash,yellow,Manhattan,Manhattan,4.0,0.0,0.0,7.8
0.62,1,19,Sunday,5.13,credit card,yellow,Manhattan,Manhattan,5.5,1.0,0.0,9.8
0.65,2,22,Wednesday,2.87,credit card,yellow,Manhattan,Manhattan,4.5,2.49,0.0,10.79
0.87,2,10,Thursday,9.72,credit card,yellow,Manhattan,Manhattan,7.5,2.16,0.0,12.96
3.06,1,17,Friday,24.8,credit card,yellow,Manhattan,Manhattan,17.0,4.26,0.0,25.56
1.1,1,17,Friday,5.0,cash,yellow,Manhattan,Manhattan,5.5,0.0,0.0,9.8
3.13,1,18,Thursday,33.45,cash,yellow,Manhattan,Manhattan,20.5,0.0,0.0,24.8
1.13,2,16,Monday,7.37,credit card,yellow,Manhattan,Manhattan,6.5,2.16,0.0,12.96
2.47,1,22,Monday,8.92,credit card,yellow,Manhattan,Manhattan,10.0,2.76,0.0,16.56
7.51,1,15,Thursday,34.47,credit card,yellow,Manhattan,Brooklyn,27.0,6.06,0.0,36.36
4.5,0,18,Sunday,26.07,cash,yellow,Manhattan,Manhattan,20.0,0.0,0.0,23.3
9.5,1,19,Wednesday,21.17,cash,yellow,Queens,Manhattan,28.0,0.0,5.76,35.06
9.37,1,7,Thursday,26.37,credit card,yellow,Manhattan,Manhattan,29.5,1.0,0.0,33.8
0.8,1,11,Thursday,19.8,credit card,yellow,Manhattan,Manhattan,12.5,3.15,0.0,18.95
4.7,2,11,Wednesday,25.7,cash,yellow,Manhattan,Manhattan,20.0,0.0,0.0,23.3
1.15,2,6,Wednesday,4.15,credit card,yellow,Manhattan,Manhattan,5.5,2.64,0.0,11.44
1.3,1,16,Thursday,8.1,cash,yellow,Manhattan,Manhattan,7.0,0.0,0.0,11.3
4.87,1,21,Monday,18.7,cash,yellow,Manhattan,Manhattan,17.5,0.0,0.0,21.3
1.0,2,16,Saturday,18.27,cash,yellow,Manhattan,Manhattan,11.5,0.0,0.0,14.8
1.89,4,17,Saturday,17.28,cash,yellow,Manhattan,Manhattan,12.0,0.0,0.0,15.3
0.9,2,21,Thursday,8.97,credit card,yellow,Manhattan,Manhattan,7.0,2.15,0.0,12.95
13.45,1,18,Wednesday,23.27,cash,yellow,Queens,Queens,36.0,0.0,0.0,37.8
2.8,1,1,Sunday,10.15,credit card,yellow,Manhattan,Manhattan,10.5,2.85,0.0,17.15
3.43,1,12,Thursday,29.03,credit card,yellow,Manhattan,Manhattan,19.0,4.46,0.0,26.76
19.59,2,17,Tuesday,48.42,credit card,yellow,Queens,Manhattan,52.0,0.0,5.76,65.56
0.71,4,13,Sunday,5.93,credit card,yellow,Manhattan,Manhattan,5.5,1.76,0.0,10.56
4.5,1,23,Friday,25.45,credit card,yellow,Manhattan,Manhattan,18.5,4.46,0.0,26.76
0.82,3,19,Saturday,9.52,credit card,yellow,Manhattan,Manhattan,7.0,2.0,0.0,12.3
0.9,1,22,Friday,3.63,credit card,yellow,Manhattan,Manhattan,5.0,0.0,0.0,6.3
2.4,2,10,Wednesday,28.25,cash,yellow,Manhattan,Manhattan,17.5,0.0,0.0,20.8
0.44,1,23,Thursday,2.73,cash,yellow,Manhattan,Manhattan,4.0,0.0,0.0,7.8
1.02,4,21,Thursday,4.33,cash,yellow,Manhattan,Manhattan,5.5,0.0,0.0,9.3
1.38,6,10,Tuesday,12.05,credit card,yellow,Manhattan,Manhattan,9.0,3.08,0.0,15.38
2.42,1,19,Saturday,23.28,credit card,yellow,Manhattan,Manhattan,15.5,3.76,0.0,22.56
0.66,1,13,Friday,6.95,credit card,yellow,Manhattan,Manhattan,6.0,2.79,0.0,12.09
3.3,1,13,Monday,19.77,cash,yellow,Manhattan,Manhattan,15.5,0.0,0.0,18.8
1.22,3,2,Friday,8.33,cash,yellow,Manhattan,Manhattan,7.5,0.0,0.0,11.3
0.55,1,15,Sunday,10.03,credit card,yellow,Manhattan,Manhattan,7.5,1.5,0.0,12.3
3.51,1,19,Wednesday,21.5,credit card,yellow,Manhattan,Manhattan,16.5,1.0,0.0,21.8
1.07,1,7,Wednesday,4.15,credit card,yellow,Manhattan,Manhattan,5.5,1.76,0.0,10.56
1.98,1,15,Tuesday,17.2,credit card,yellow,Manhattan,Manhattan,11.5,2.96,0.0,17.76
1.0,1,8,Friday,7.35,credit card,yellow,Manhattan,Manhattan,6.5,1.95,0.0,11.75
1.85,1,23,Saturday,12.37,cash,yellow,Manhattan,Manhattan,10.0,0.0,0.0,13.8
7.95,1,1,Sunday,36.43,cash,yellow,Manhattan,Queens,30.0,0.0,0.0,33.8
1.0,1,13,Saturday,6.63,cash,yellow,Manhattan,Manhattan,6.5,0.0,0.0,9.8
0.6,1,15,Tuesday,5.12,credit card,yellow,Manhattan,Manhattan,5.0,1.65,0.0,9.95
1.57,2,19,Monday,9.37,credit card,yellow,Manhattan,Manhattan,8.5,1.8,0.0,14.6
1.3,1,22,Sunday,7.93,credit card,yellow,Manhattan,Manhattan,7.5,2.25,0.0,13.55
1.47,1,23,Friday,13.78,cash,yellow,Manhattan,Manhattan,9.5,0.0,0.0,13.3
0.4,2,18,Saturday,2.95,cash,yellow,Manhattan,Manhattan,4.0,0.0,0.0,7.3
1.84,6,11,Thursday,13.1,credit card,yellow,Manhattan,Manhattan,10.0,2.66,0.0,15.96
2.5,1,21,Saturday,18.38,credit card,yellow,Manhattan,Manhattan,12.5,1.5,0.0,17.8
1.5,2,19,Saturday,12.78,cash,yellow,Manhattan,Manhattan,9.5,0.0,0.0,12.8
1.02,1,16,Sunday,4.27,credit card,yellow,Manhattan,Manhattan,5.0,2.08,0.0,10.38
0.6,1,20,Monday,3.98,cash,yellow,Manhattan,Manhattan,5.0,0.0,0.0,6.3
4.1,1,22,Thursday,19.85,cash,yellow,Manhattan,Manhattan,16.0,0.0,0.0,19.8
0.07,1,5,Saturday,0.3,cash,yellow,Queens,Queens,2.5,0.0,0.0,3.8
5.99,1,22,Wednesday,19.17,credit card,yellow,Manhattan,Manhattan,20.0,5.95,0.0,29.75
2.55,5,10,Thursday,25.6,cash,yellow,Manhattan,Manhattan,16.5,0.0,0.0,19.8
0.3,1,8,Monday,1.2,credit card,yellow,Manhattan,Manhattan,3.0,0.95,0.0,7.25
10.6,0,7,Thursday,35.92,credit card,yellow,Bronx,Manhattan,33.5,0.0,5.76,40.06
0.66,3,12,Tuesday,14.57,credit card,yellow,Manhattan,Manhattan,9.5,1.2,0.0,14.0
2.6,3,20,Wednesday,11.37,credit card,yellow,Manhattan,Manhattan,11.0,4.4,0.0,19.2
1.6,1,21,Thursday,11.45,credit card,yellow,Manhattan,Manhattan,9.0,2.55,0.0,15.35
3.21,1,16,Wednesday,17.27,cash,yellow,Manhattan,Brooklyn,13.5,0.0,0.0,17.8
1.3,1,22,Monday,7.57,credit card,yellow,Manhattan,Manhattan,7.5,0.5,0.0,11.8
0.9,2,19,Friday,8.27,cash,yellow,Manhattan,Manhattan,7.0,0.0,0.0,11.3
0.95,3,10,Saturday,8.38,credit card,yellow,Manhattan,Manhattan,7.5,2.16,0.0,12.96
1.79,1,11,Thursday,21.02,credit card,yellow,Manhattan,Manhattan,13.5,3.36,0.0,20.16
1.15,1,14,Friday,7.33,credit card,yellow,Manhattan,Manhattan,7.0,2.06,0.0,12.36
1.2,1,7,Friday,6.47,cash,yellow,Manhattan,Manhattan,6.5,0.0,0.0,9.8
0.43,4,11,Sunday,3.4,cash,yellow,Manhattan,Manhattan,4.0,0.0,0.0,7.3
9.5,3,13,Thursday,26.8,cash,yellow,Queens,Manhattan,30.0,0.0,5.76,39.06
1.1,1,17,Tuesday,6.42,credit card,yellow,Manhattan,Manhattan,6.5,2.15,0.0,12.95
2.06,1,18,Friday,13.58,credit card,yellow,Manhattan,Manhattan,10.0,2.86,0.0,17.16
0.78,1,17,Monday,5.9,credit card,yellow,Manhattan,Manhattan,5.5,1.47,0.0,11.27
2.42,4,13,Friday,20.17,credit card,yellow,Manhattan,Manhattan,13.5,2.0,0.0,18.8
2.73,1,23,Saturday,18.6,credit card,yellow,Manhattan,Brooklyn,13.0,1.0,0.0,17.8
5.7,1,10,Wednesday,19.2,credit card,yellow,Manhattan,Manhattan,20.0,4.65,0.0,27.95
11.93,1,10,Friday,40.1,credit card,yellow,Manhattan,Queens,39.5,9.71,5.76,58.27
1.7,1,23,Friday,12.13,credit card,yellow,Manhattan,Manhattan,10.0,2.75,0.0,16.55
2.9,1,12,Saturday,20.87,cash,yellow,Manhattan,Manhattan,15.0,0.0,0.0,18.3
5.98,1,12,Tuesday,18.38,credit card,yellow,Brooklyn,Manhattan,19.0,5.58,0.0,27.88
0.65,1,16,Friday,5.03,credit card,yellow,Manhattan,Manhattan,5.0,1.86,0.0,11.16
1.76,1,15,Monday,14.85,cash,yellow,Manhattan,Manhattan,10.5,0.0,0.0,13.8
3.6,0,9,Saturday,17.33,credit card,yellow,Manhattan,Manhattan,15.5,3.75,0.0,22.55
0.58,2,10,Monday,3.87,credit card,yellow,Manhattan,Manhattan,4.5,0.78,0.0,8.58
1.22,1,23,Thursday,8.25,cash,yellow,Manhattan,Manhattan,7.0,0.0,0.0,10.8
2.1,1,20,Wednesday,14.4,credit card,yellow,Manhattan,Manhattan,11.0,3.05,0.0,18.35
2.0,2,20,Sunday,10.77,credit card,yellow,Manhattan,Manhattan,9.5,1.62,0.0,12.42
0.83,1,21,Wednesday,5.23,cash,yellow,Manhattan,Manhattan,5.5,0.0,0.0,9.3
1.79,1,13,Monday,10.37,credit card,yellow,Manhattan,Manhattan,9.5,1.0,0.0,13.8
2.07,1,17,Sunday,11.12,credit card,yellow,Manhattan,Manhattan,10.0,2.7,0.0,13.5
1.53,1,8,Wednesday,12.88,credit card,yellow,Manhattan,Manhattan,10.0,2.66,0.0,15.96
10.21,1,18,Thursday,46.78,credit card,yellow,Manhattan,Manhattan,37.61,0.0,0.0,38.41
10.8,1,19,Wednesday,38.67,credit card,yellow,Queens,Manhattan,36.0,11.5,5.76,57.56
3.43,1,22,Sunday,17.53,credit card,yellow,Manhattan,Manhattan,14.5,3.66,0.0,21.96
0.57,3,0,Sunday,6.67,cash,yellow,Manhattan,Manhattan,6.0,0.0,0.0,9.8
0.9,1,18,Thursday,4.72,cash,yellow,Manhattan,Manhattan,5.5,0.0,0.0,9.8
0.6,1,13,Tuesday,3.05,cash,yellow,Manhattan,Manhattan,4.0,0.0,0.0,7.3
1.06,1,21,Thursday,5.55,credit card,yellow,Manhattan,Manhattan,6.0,2.94,0.0,12.74
1.56,5,10,Monday,13.6,credit card,yellow,Manhattan,Manhattan,10.0,1.0,0.0,14.3
0.9,1,18,Wednesday,12.37,credit card,yellow,Manhattan,Manhattan,8.5,2.5,0.0,15.3
1.7,1,11,Monday,9.98,cash,yellow,Manhattan,Manhattan,9.0,0.0,0.0,12.3
0.55,1,19,Saturday,3.3,credit card,yellow,Manhattan,Manhattan,4.5,1.56,0.0,9.36
3.0,4,19,Thursday,18.07,credit card,yellow,Manhattan,Manhattan,14.0,3.65,0.0,21.95
6.4,6,15,Tuesday,25.65,credit card,yellow,Manhattan,Manhattan,23.0,5.26,0.0,31.56
4.14,2,8,Friday,17.98,credit card,yellow,Manhattan,Manhattan,16.0,3.86,0.0,23.16
1.1,1,8,Sunday,4.97,cash,yellow,Manhattan,Manhattan,6.0,0.0,0.0,9.3
2.61,1,20,Saturday,21.18,credit card,yellow,Manhattan,Manhattan,14.0,2.67,0.0,20.47
1.18,1,12,Sunday,6.6,cash,yellow,Manhattan,Manhattan,6.5,0.0,0.0,9.8
3.2,1,18,Saturday,12.63,credit card,yellow,Manhattan,Manhattan,12.5,2.0,0.0,17.8
2.8,1,23,Tuesday,9.35,credit card,yellow,Manhattan,Manhattan,10.5,2.85,0.0,17.15
5.09,2,11,Monday,21.6,credit card,yellow,Manhattan,Manhattan,19.0,5.58,0.0,27.88
1.16,1,15,Monday,10.6,credit card,yellow,Manhattan,Manhattan,8.0,2.26,0.0,13.56
2.77,3,23,Wednesday,12.15,credit card,yellow,Manhattan,Manhattan,11.0,3.7,0.0,18.5
1.72,1,7,Thursday,7.6,cash,yellow,Manhattan,Manhattan,7.5,0.0,0.0,8.3
3.5,1,6,Tuesday,14.72,cash,yellow,Manhattan,Manhattan,13.5,0.0,0.0,16.8
6.71,3,10,Friday,49.1,credit card,yellow,Manhattan,Brooklyn,34.0,7.46,0.0,44.76
2.2,1,5,Thursday,7.45,credit card,yellow,Manhattan,Manhattan,8.5,2.45,0.0,14.75
2.0,1,18,Wednesday,13.1,cash,yellow,Manhattan,Manhattan,10.0,0.0,0.0,14.3
2.7,2,17,Tuesday,20.68,cash,yellow,Manhattan,Manhattan,14.5,0.0,0.0,18.8
1.03,1,22,Thursday,5.65,credit card,yellow,Brooklyn,Brooklyn,6.0,1.46,0.0,8.76
0.9,1,19,Thursday,13.45,credit card,yellow,Manhattan,Manhattan,9.5,2.0,0.0,15.8
10.18,5,12,Saturday,19.8,credit card,yellow,Queens,Manhattan,29.5,0.06,5.76,38.62
0.92,3,15,Tuesday,4.98,cash,yellow,Manhattan,Manhattan,5.5,0.0,0.0,8.8
2.0,1,16,Wednesday,11.08,credit card,yellow,Manhattan,Manhattan,9.5,1.0,0.0,14.8
1.43,1,11,Thursday,9.65,credit card,yellow,Manhattan,Manhattan,8.5,2.36,0.0,14.16
0.74,3,7,Friday,2.88,credit card,yellow,Manhattan,Manhattan,4.5,1.95,0.0,9.75
17.1,2,17,Wednesday,66.85,credit card,yellow,Manhattan,Queens,52.0,13.1,5.76,78.66
1.2,1,4,Friday,4.33,credit card,yellow,Manhattan,Manhattan,5.5,1.0,0.0,10.3
1.8,2,15,Sunday,16.28,credit card,yellow,Manhattan,Manhattan,11.0,1.0,0.0,15.3
2.13,1,21,Thursday,17.3,cash,yellow,Manhattan,Manhattan,12.0,0.0,0.0,15.8
1.4,1,12,Wednesday,16.15,credit card,yellow,Manhattan,Manhattan,11.0,2.85,0.0,17.15
0.6,1,14,Monday,6.15,cash,yellow,Manhattan,Manhattan,5.5,0.0,0.0,8.8
1.56,2,22,Thursday,12.35,cash,yellow,Manhattan,Manhattan,9.5,0.0,0.0,13.3
0.95,6,12,Wednesday,6.42,credit card,yellow,Manhattan,Manhattan,6.0,2.32,0.0,11.62
0.56,2,4,Thursday,2.97,credit card,yellow,Manhattan,Manhattan,4.0,1.56,0.0,9.36
1.0,1,19,Wednesday,7.53,cash,yellow,Manhattan,Manhattan,6.5,0.0,0.0,10.8
1.24,1,11,Friday,8.88,cash,yellow,Manhattan,Manhattan,8.0,0.0,0.0,11.3
2.16,6,22,Tuesday,10.58,credit card,yellow,Manhattan,Manhattan,9.5,3.32,0.0,16.62
9.97,1,20,Monday,17.17,credit card,yellow,Bronx,Bronx,28.5,0.0,0.0,29.8
1.1,1,20,Monday,3.52,credit card,yellow,Manhattan,Manhattan,5.5,1.86,0.0,11.16
0.44,1,17,Tuesday,2.25,credit card,yellow,Manhattan,Manhattan,3.5,1.11,0.0,8.91
5.19,1,19,Friday,14.37,credit card,yellow,Manhattan,Manhattan,17.5,4.0,0.0,25.8
3.5,0,17,Saturday,13.77,cash,yellow,Manhattan,Manhattan,14.5,0.0,0.0,15.3
0.84,1,10,Friday,6.65,cash,yellow,Manhattan,Manhattan,6.0,0.0,0.0,9.3
0.93,5,0,Friday,5.25,credit card,yellow,Manhattan,Manhattan,5.5,1.86,0.0,11.16
0.71,2,9,Friday,6.48,cash,yellow,Manhattan,Manhattan,6.0,0.0,0.0,9.3
6.08,1,0,Thursday,29.3,cash,yellow,Manhattan,Queens,24.0,0.0,0.0,27.8
1.09,1,20,Monday,5.02,credit card,yellow,Manhattan,Manhattan,6.0,1.96,0.0,11.76
1.9,1,12,Tuesday,14.57,cash,yellow,Manhattan,Manhattan,10.5,0.0,0.0,13.8
1.8,1,8,Wednesday,17.12,cash,yellow,Manhattan,Manhattan,11.5,0.0,0.0,14.8
1.5,1,19,Thursday,4.78,credit card,yellow,Manhattan,Manhattan,6.5,2.7,0.0,13.5
2.17,2,0,Sunday,11.25,cash,yellow,Manhattan,Manhattan,10.0,0.0,0.0,13.8
18.41,1,15,Tuesday,53.08,credit card,yellow,Queens,Manhattan,52.0,0.02,5.76,61.08
2.0,4,0,Sunday,11.7,credit card,yellow,Manhattan,Manhattan,10.0,2.75,0.0,16.55
1.2,1,9,Saturday,6.28,credit card,yellow,Manhattan,Manhattan,6.5,1.95,0.0,11.75
1.46,1,14,Sunday,5.63,credit card,yellow,Manhattan,Manhattan,6.5,1.96,0.0,11.76
14.1,1,9,Tuesday,33.0,credit card,yellow,Queens,Queens,39.5,6.0,0.0,46.3
14.3,1,21,Monday,23.45,cash,yellow,Queens,Brooklyn,40.0,0.0,0.0,41.3
0.66,1,6,Sunday,3.7,cash,yellow,Manhattan,Manhattan,4.5,0.0,0.0,7.8
3.13,1,18,Wednesday,11.9,credit card,yellow,Manhattan,Manhattan,11.5,3.16,0.0,18.96
6.5,1,14,Tuesday,26.58,cash,yellow,Manhattan,Brooklyn,23.5,0.0,5.76,32.56
1.3,1,14,Tuesday,6.3,credit card,yellow,Manhattan,Manhattan,6.5,2.45,0.0,12.25
0.2,1,16,Tuesday,1.57,cash,yellow,Manhattan,Manhattan,3.0,0.0,0.0,7.3
1.8,1,13,Saturday,15.02,cash,yellow,Manhattan,Manhattan,11.0,0.0,0.0,14.3
1.4,1,7,Thursday,9.75,credit card,yellow,Manhattan,Manhattan,8.5,2.35,0.0,14.15
1.1,1,14,Sunday,13.03,cash,yellow,Manhattan,Manhattan,9.0,0.0,0.0,12.3
0.88,1,21,Friday,6.85,cash,yellow,Manhattan,Manhattan,6.0,0.0,0.0,9.8
2.3,1,22,Saturday,14.53,credit card,yellow,Manhattan,Manhattan,11.5,3.8,0.0,19.1
1.21,3,18,Monday,9.73,cash,yellow,Manhattan,Manhattan,7.5,0.0,0.0,11.8
0.47,5,14,Friday,1.57,credit card,yellow,Manhattan,Manhattan,3.5,0.0,0.0,6.8
1.6,1,9,Wednesday,10.45,credit card,yellow,Manhattan,Manhattan,8.5,2.35,0.0,14.15
1.5,1,18,Friday,6.5,credit card,yellow,Manhattan,Manhattan,7.0,4.0,0.0,15.3
0.4,1,17,Thursday,3.0,cash,yellow,Manhattan,Manhattan,4.5,0.0,0.0,8.8
1.1,1,23,Saturday,9.62,credit card,yellow,Manhattan,Manhattan,7.5,1.0,0.0,12.3
2.27,1,7,Wednesday,10.43,cash,yellow,Manhattan,Manhattan,9.5,0.0,0.0,12.8
0.6,1,23,Saturday,3.08,credit card,yellow,Manhattan,Manhattan,4.5,0.0,0.0,8.3
0.9,1,21,Monday,8.37,credit card,yellow,Manhattan,Manhattan,7.0,2.16,0.0,12.96
0.3,1,11,Saturday,3.3,credit card,yellow,Manhattan,Manhattan,4.0,3.0,0.0,10.3
2.75,1,22,Friday,15.12,cash,yellow,Brooklyn,Brooklyn,12.5,0.0,0.0,13.8
0.6,1,10,Sunday,2.9,credit card,yellow,Manhattan,Manhattan,4.5,1.06,0.0,6.36
3.6,2,22,Tuesday,17.45,credit card,yellow,Manhattan,Manhattan,14.5,3.65,0.0,21.95
1.16,6,22,Friday,5.3,cash,yellow,Manhattan,Manhattan,6.0,0.0,0.0,9.8
15.01,1,11,Wednesday,44.23,credit card,yellow,Manhattan,Brooklyn,46.5,0.0,5.76,53.06
1.4,1,18,Friday,7.65,credit card,yellow,Manhattan,Manhattan,7.0,2.25,0.0,13.55
3.69,2,22,Wednesday,21.48,cash,yellow,Manhattan,Manhattan,16.0,0.0,0.0,19.8
8.81,1,12,Thursday,23.87,credit card,yellow,Queens,Manhattan,27.5,7.31,5.76,43.87
0.84,1,21,Friday,6.17,credit card,yellow,Manhattan,Manhattan,6.0,2.0,0.0,11.8
9.61,1,21,Wednesday,18.15,credit card,yellow,Queens,Manhattan,27.5,5.56,5.76,42.62
0.4,1,23,Tuesday,2.75,cash,yellow,Manhattan,Manhattan,4.0,0.0,0.0,7.8
12.07,2,15,Friday,58.23,credit card,yellow,Manhattan,Brooklyn,48.5,11.51,5.76,69.07
1.31,1,20,Friday,7.92,cash,yellow,Manhattan,Manhattan,7.5,0.0,0.0,11.3
3.79,1,14,Thursday,28.2,credit card,yellow,Manhattan,Manhattan,19.5,4.56,0.0,29.31
9.9,1,21,Sunday,20.0,credit card,yellow,Queens,Manhattan,28.0,7.51,5.76,45.07
1.86,1,23,Tuesday,8.07,credit card,yellow,Manhattan,Manhattan,8.0,2.36,0.0,14.16
0.66,2,2,Sunday,8.85,credit card,yellow,Manhattan,Manhattan,7.0,1.94,0.0,12.74
0.62,1,15,Monday,10.83,credit card,yellow,Manhattan,Manhattan,7.5,2.16,0.0,12.96
0.7,1,11,Thursday,3.78,cash,yellow,Manhattan,Manhattan,4.5,0.0,0.0,7.8
1.09,1,23,Thursday,5.5,credit card,yellow,Manhattan,Manhattan,6.0,1.96,0.0,11.76
1.1,1,21,Wednesday,6.73,credit card,yellow,Manhattan,Manhattan,6.5,1.54,0.0,11.84
4.82,1,23,Wednesday,26.08,credit card,yellow,Manhattan,Manhattan,19.5,4.66,0.0,27.96
3.3,1,19,Friday,21.32,credit card,yellow,Manhattan,Manhattan,15.5,2.96,0.0,22.76
1.0,1,12,Tuesday,12.78,cash,yellow,Manhattan,Manhattan,8.5,0.0,0.0,11.8
1.5,1,1,Saturday,4.97,credit card,yellow,Manhattan,Manhattan,6.5,2.55,0.0,12.85
1.0,2,8,Thursday,8.95,credit card,yellow,Manhattan,Manhattan,7.5,2.15,0.0,12.95
10.1,1,20,Wednesday,29.65,credit card,yellow,Queens,Manhattan,32.0,5.5,5.76,47.06
1.23,1,13,Friday,6.38,credit card,yellow,Manhattan,Manhattan,6.5,2.45,0.0,12.25
1.1,4,12,Sunday,4.02,credit card,yellow,Manhattan,Manhattan,5.5,0.44,0.0,9.24
0.5,2,12,Friday,3.97,credit card,yellow,Manhattan,Manhattan,4.5,1.05,0.0,6.35
0.75,1,10,Friday,5.93,credit card,yellow,Manhattan,Manhattan,5.5,1.5,0.0,10.3
2.62,1,18,Sunday,15.98,credit card,yellow,Manhattan,Manhattan,12.0,3.06,0.0,18.36
1.65,1,19,Thursday,16.42,credit card,yellow,Manhattan,Manhattan,11.5,3.95,0.0,19.75
2.75,1,18,Thursday,17.4,credit card,yellow,Manhattan,Manhattan,13.0,3.46,0.0,20.76
2.32,1,23,Saturday,15.32,cash,yellow,Manhattan,Manhattan,12.0,0.0,0.0,15.8
1.44,6,1,Sunday,6.32,credit card,yellow,Manhattan,Manhattan,6.5,3.09,0.0,13.39
16.74,2,10,Thursday,44.23,credit card,yellow,Manhattan,Queens,52.0,15.26,5.76,76.32
1.7,6,13,Thursday,14.63,credit card,yellow,Manhattan,Manhattan,10.5,2.75,0.0,16.55
1.46,1,2,Saturday,10.28,credit card,yellow,Manhattan,Manhattan,8.5,1.0,0.0,13.3
1.78,5,13,Sunday,10.93,credit card,yellow,Manhattan,Manhattan,9.5,2.56,0.0,15.36
2.7,1,12,Saturday,17.63,cash,yellow,Manhattan,Manhattan,13.5,0.0,0.0,16.8
0.5,1,7,Tuesday,2.58,credit card,yellow,Manhattan,Manhattan,4.0,2.15,0.0,9.45
2.77,2,1,Friday,13.9,credit card,yellow,Manhattan,Manhattan,12.0,1.0,0.0,16.8
1.13,1,18,Monday,8.18,credit card,yellow,Manhattan,Manhattan,7.0,1.7,0.0,13.0
0.9,2,20,Sunday,4.7,cash,yellow,Manhattan,Manhattan,5.5,0.0,0.0,9.3
5.53,6,3,Wednesday,16.28,credit card,yellow,Manhattan,Manhattan,17.5,2.5,0.0,23.8
1.06,1,22,Tuesday,7.85,credit card,yellow,Manhattan,Manhattan,7.0,1.08,0.0,11.88
0.8,1,16,Thursday,4.88,cash,yellow,Manhattan,Manhattan,5.5,0.0,0.0,9.8
1.35,2,14,Sunday,8.57,credit card,yellow,Manhattan,Manhattan,7.5,1.0,0.0,11.8
0.85,1,2,Thursday,6.22,credit card,yellow,Manhattan,Manhattan,6.0,1.96,0.0,11.76
1.47,1,10,Thursday,5.85,credit card,yellow,Manhattan,Manhattan,6.5,2.45,0.0,12.25
0.77,1,20,Sunday,6.62,credit card,yellow,Manhattan,Manhattan,6.0,1.2,0.0,11.0
4.4,2,21,Tuesday,22.9,credit card,yellow,Brooklyn,Brooklyn,17.5,3.76,0.0,22.56
